Timestamp	Channel	CPU	Event type	Contents	Trace Packet Header	Packet Context	Stream Context	Event Context	TID	Prio	PID	Source
19:40:14.176 930 853	hannel=my-kernel-channel_3	3	irq_softirq_raise	vec=4, context.packet_seq_num=0, context.cpu_id=3	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061788340654, timestamp_end=10275295059739, content_size=8388560, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=3]			2001	20	2001	
19:40:14.176 931 277	hannel=my-kernel-channel_3	3	irq_softirq_entry	vec=4, context.packet_seq_num=0, context.cpu_id=3	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061788340654, timestamp_end=10275295059739, content_size=8388560, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=3]			2001	20	2001	
19:40:14.176 932 242	hannel=my-kernel-channel_3	3	block_rq_complete	dev=8388608, sector=80281056, nr_sector=8, error=0, rwbs=1, context.packet_seq_num=0, context.cpu_id=3	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061788340654, timestamp_end=10275295059739, content_size=8388560, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=3]			2001	20	2001	
19:40:14.176 933 539	hannel=my-kernel-channel_3	3	sched_waking	comm="kworker/u24:1", tid=20648, prio=20, target_cpu=11, context.packet_seq_num=0, context.cpu_id=3	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061788340654, timestamp_end=10275295059739, content_size=8388560, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=3]			2001	20	2001	
19:40:14.176 937 046	hannel=my-kernel-channel_7	7	irq_handler_exit	irq=21, ret=0, context.packet_seq_num=0, context.cpu_id=7	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061791157966, timestamp_end=10239696660893, content_size=8388560, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=7]			0	20		
19:40:14.176 939 839	hannel=my-kernel-channel_3	3	irq_softirq_exit	vec=4, context.packet_seq_num=0, context.cpu_id=3	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061788340654, timestamp_end=10275295059739, content_size=8388560, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=3]			2001	20	2001	
19:40:14.176 942 070	hannel=my-kernel-channel_11	11	sched_wakeup	comm="kworker/u24:1", tid=20648, prio=20, target_cpu=11, context.packet_seq_num=0, context.cpu_id=11	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061793519710, timestamp_end=10157349618739, content_size=8388560, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=11]			0	20		
19:40:14.176 942 513	hannel=my-kernel-channel_11	11	sched_switch	prev_comm="swapper/11", prev_tid=0, prev_prio=20, prev_state=0, next_comm="kworker/u24:1", next_tid=20648, next_prio=20, context.packet_seq_num=0, context.cpu_id=11	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061793519710, timestamp_end=10157349618739, content_size=8388560, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=11]			0	20		
19:40:14.176 945 353	hannel=my-kernel-channel_11	11	sched_switch	prev_comm="kworker/u24:1", prev_tid=20648, prev_prio=20, prev_state=128, next_comm="swapper/11", next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=11	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061793519710, timestamp_end=10157349618739, content_size=8388560, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=11]			20648	20	20648	
19:40:14.176 948 708	my-kernel-channel_3	3	syscall_exit_ioctl	ret=0, arg=1, context.packet_seq_num=0, context.cpu_id=3, context._procname="lttng-consumerd", context._pid=1994, context._tid=2001	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061388252426, timestamp_end=12032520506802, content_size=316066768, packet_size=316080128, packet_seq_num=0, events_discarded=0, cpu_id=3]	[procname="lttng-consumerd", pid=1994, tid=2001]		2001	20	2001	[fs/ioctl.c:0]
19:40:14.176 950 343	my-kernel-channel_3	3	syscall_entry_ioctl	fd=34, cmd=2148070919, arg=140707459579776, context.packet_seq_num=0, context.cpu_id=3, context._procname="lttng-consumerd", context._pid=1994, context._tid=2001	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061388252426, timestamp_end=12032520506802, content_size=316066768, packet_size=316080128, packet_seq_num=0, events_discarded=0, cpu_id=3]	[procname="lttng-consumerd", pid=1994, tid=2001]		2001	20	2001	[fs/ioctl.c:0]
